TID|Genre|Style|StyleDesciption|Style_address
70000046|Classical|Neo-Classical|Neoclassical is a subgenre of Dark Wave music that emerged in the early to mid-1980s in the UK. It is characterized by a classical approach based on acoustic instrumentation and electronic sound simulation, often generated by synthesizers and samplers.In the early 1980s, numerous Post-Punk bands showed an interest in art music and classical music but couldn't achieve the necessary technical proficiency. At the time, Venomettes members Viginia Hewes, Anne Stephenson, and Martin McCarrick − who graduated from Royal College of Music and Guildhall School of Music and Drama − became influential figures of the British Post-Punk and New Wave scene and started working with a variety of seminal artists, including The Cure, The Glove, Siouxsie and the Banshees, Anne Clark, Marc Almond, This Mortal Coil, Virginia Astley, Peter Murphy, Sex Gang Children, Virgin Prunes, and Skin. The inclusion of traditional music instruments, especially chordophones such as violin, cello, and piano, became a standard for many 1980s Dark Wave productions.Shortly afterwards, UK-based post-punk acts Dead Can Dance and In the Nursery abandoned conventional rock structures in favour of instrumentation, sound simulation, and compositional techniques associated with classical music and film scores, and produced a range of essential full-length works.|/style/neo-classical
70000047|Classical|Neo-Romantic|Modern re-interpretation of early 19th century Romanticist ideals in music: high emotionality, folk elements, sometimes nationalism. It can be seen as a reaction to modernist avant-garde of the mid-20th century.|/style/neo-romantic
70000048|Classical|Opera|Opera is an art form in which singers and musicians perform a dramatic work combining text (libretto) and musical score, usually in a theatrical setting. Opera incorporates many of the elements of spoken theatre, such as acting,scenery, and costumes and sometimes includes dance. The performance is typically given in an opera house, accompanied by an orchestra or smaller musical ensemble.Opera is part of the Western classical music tradition. It started in Italy at the end of the sixteenth century (with Jacopo Peri’s lost Dafne, produced in Florence in 1598) and soon spread through the rest of Europe.|/style/opera
70000049|Classical|Operetta||/style/operetta
70000050|Classical|Oratorio||/style/oratorio
70000051|Classical|Post-Modern||/style/post-modern
70000052|Classical|Renaissance||/style/renaissance
70000053|Classical|Romantic|Compared to its predecessors, music from the romantic era is more fluid, emotional, personal, secular, and experimental. It was written more for middle-class audiences, and it heavily influenced film music throughout the 20th Century. Schubert, Schumann, Mendelssohn and Brahms represent the more conservative side of romanticism, and Berlioz, Strauss, Tchaikovsky, Wagner, Chopin, Debussy, and Holst represent the more experimental side.|/style/romantic
70000054|Classical|Serial||/style/serial
70000055|Classical|Twelve-tone||/style/twelve-tone
70000056|Classical|Zarzuela|Spain's own style of operetta, grandfather of the Musical, a mix of theatre and sung scenes.|/style/zarzuela
70000057|Electronic|Abstract|Abstract generally describes a type of electronic music that doesn’t fit into any other category. It is sometimes also referred to as experimental electronic music.|/style/abstract
70000058|Electronic|Acid|The Acid tag is usually used in conjunction with other styles like Techno or Trance or Breaks, to indicate those styles of music combined with an "acid"; aesthetic. Acid House, however, has its own tag (see below). Pretty much anything that uses a Roland TB-303-type sound in the same way it was used in Acid House music is fair game for getting the Acid tag.|/style/acid
70000059|Electronic|Acid House|A form of Chicago house music that emerged in the later 1980's that is mainly made using a monophonic synthesizer called the Roland TB-303 Bass Line, together with the Roland TR-606 Rhythm Composer drum machine. Differs from classic "Chicago"; house in that it's very hypnotic and repetitive, and usually contains sampled or dub vocals instead of a unique, full vocal song.|/style/acid+house
70000060|Electronic|Acid Jazz|Unlike other "acid"; genres, the naming of Acid Jazz had nothing to do with drugs, and was just a joke by the founders of the Acid Jazz record label, who sought to distance themselves from house music and the Acid House craze in particular at the beginning of the 90's. The popularity of the label and a series of This Is Acid Jazz compilations led to the term being used to describe anything in styles similar to the label's acts. Acid Jazz music tends to be generally upbeat, "jazzy"; pop-funk dance music played by traditional bands, and sometimes by artists who make heavy use of sampling. Often, acid jazz songs consist largely of funky basslines and upbeat hip-hop breaks, with the only improvised element being a melodic solo performance by a single instrument or vocalist.|/style/acid+jazz
70000061|Electronic|Ambient|Ambient music refers to a kind of music that envelops the listener without drawing attention to itself.The Term is created 1978 by Brian Eno's AMBIENT 1 "Music for Airports";.Ambient Music must be able to accommodate many levels of listening attention without enforcing one in particular; it must be as ignorable as it is interesting.— Brian Eno (Music for Airports liner notes, September 1978).|/style/ambient
70000062|Electronic|Ballroom||/style/ballroom
70000063|Electronic|Baltimore Club|A type of sample-heavy breakbeat developed in the late 1980s in Baltimore which combines hip hop with chopped, staccato house music. It is characterized by a having repetitive, looped vocal snippets, and an 8/4 beat structure with tempos of around 130 BPM, and a rather "hurried"; feel. The Jersey Club style of breakbeat which arose in northern New Jersey in the 1990s and 2000s was influenced by Baltimore Club.   |/style/baltimore+club
70000064|Electronic|Bassline|[From the Bassline Wikipedia page] Bassline (sometimes referred to as bassline house, organ house, Niche or 4&#215;4) is a type of music related to UK garage that originated in Sheffield in the early 2000s. Stylistically it comprises a four-to-the-floor rhythm normally at around 135–142 beats per minute, a strong emphasis on bass, and a pop music aesthetic similar to that of its precursor 2-step garage.In the scene's early days the most prominent bassline club was the Niche nightclub in Sheffield, which became at the centre of controversy due to a police raid which resulted in the club's closure in 2005. The club reopened in 2009, only to be closed down a year later, and then reopened a third time in 2017. Like grime, which was developing concurrently in London, bassline was associated with violence, anti-social behaviour and criminal activity during the time of its rise to popularity, which contributed to a general lack of willingness among venue owners and the police to accommodate bassline events.|/style/bassline
70000065|Electronic|Beatdown|Beatdown is a production style that cross pollinates several other genres and styles, but it firmly lives under the Electronic genre as a production style that is almost exclusively used in DJ / Electronic Dance Music productions.  The production process involves taking sampled or edited material that has existing drums in it and then adding other drum elements to it by layering them on top of the existing drums.  These elements would typically be Kick, Snare, Hi-Hat, Crash, but could also include Toms and various percussion instruments.  The existing drums are greatly diminished by a variety of techniques that include (but are not limited to) EQ & Filtering, while the layering process is aided by Side Chain Compression of the sampled / edited material keyed by the new Kick Drum. The end result is a very thick and full sounding production especially in the low end of the frequency spectrum. You would typically see Beatdown listed (in tandem) on releases with genres & styles like (but not limited to) Disco, Funk, Soul, Boogie, Nudisco, House, Downtempo and Techno, but the production style could be used in almost any style or genre.The production style of Beatdown came to the forefront in the early 2000's with the Detroit Beatdown Sound featured on "Detroit Beatdown (Volume One)"; (2002) on Third Ear Recordings. While artists on the release such as Dwayne Jensen, Rick Wilhite & Mike Clarke using the technique. As a production style, Beatdown had been in use for sometime before that release, most notably in some early House & Hip-Hop.  Some artists of note in the House style using it would be Miles Maeda, Johnick, Lance DeSardi, Soul Avengerz and X-Press 2.Beatdown saw an increase in the late 2000's with the rise of the Nu Disco scene and its second edit wave (the first edit wave occurred during the Disco era of the mid to late 70's thru the early 80's).  With releases on labels like Sleazy Beats Recordings, Super Value, It's A Small World Disco, No More Hits, Smokecloud Records, Whiskey Disco, Editorial, Dikso Records & Diner City Sounds.  And works from artists like LTJ X-Perience, Eddie C, Sleazy McQueen, Matthew Kyle / No Requests, The Ivory Boy, Rayko, Osmose, Frank Booker, byDesign, The Silver Rider, Cole Medina, B-Jam, Dead Rose Music Company, Hotmood, The Noodleman, Get Down Edits & 78 Edits.|/style/beatdown
70000066|Electronic|Berlin-School|The Berlin School is a style of electronic music that emerged in the 1970s.[1] An offshoot of Krautrock, Berlin School was so named because most of its early practitioners were based in West Berlin, Germany. It was shaped by artists such as Tangerine Dream, Klaus Schulze, and Manuel Gottsching. Innovative Berlin School recordings were a precursor of ambient music.The genre's identification with space music distinguished it from the more percussive and rhythm-oriented Düsseldorf School, which included Can, Cluster, Kraftwerk, and Neu!. These latter bands have had a greater impact on synthpop and techno, while the Berlin School was a wellspring for ambient, electronica, new-age and trance.|/style/berlin-school
70000067|Electronic|Big Beat|Breakbeat that is influenced by acid house. The name refers to the loud, bassy drum beats that make up the songs' beats and bass lines. It was one of the more commercially successful electronic styles of the 1990s.|/style/big+beat
70000068|Electronic|Bleep|Combining minimalistic aspects of Electro & Detroit Techno with rhythmic Acid House patterns and characterised by heavy sub bass and sparse electronic melodies, Bleep was one of the earliest subgenres or styles within electronic dance music. Originating in the North of England, Bleep is sometimes referred to as Yorkshire Bleep or Yorkshire Bleep and Bass. Bleep in this particular style of music began in 1988 and lasted until 1991. “The Theme” by “Unique 3” released on Chill records in 1988 is widely hailed as the first Bleep tune.|/style/bleep
70000069|Electronic|Breakbeat|Breakbeat is a primarily UK-based style that existed alongside and quickly became infused into hardcore rave/techno music, in turn leading to faster, more complex [jungle](|/style/breakbeat
70000070|Electronic|Breakcore|Typically fast (180BPM+), loud and distorted breakbeats. Songs structure is often non-linear: the breakbeats don't stay the same throughout the song like in drum n bass for example, but rather different breaks are chopped, changed and mashed together. Samples from any spectrum of pop culture (Hollywood movies, Anime, video games, pop music) are also common, and Ragga-Breakcore with the reggae samples is a popular sub-genre.|/style/breakcore
70000071|Electronic|Breaks|Breaks is a primarily a mid-1990s to mid-2000s style combining elements of progressive house and trance, but with syncopated percussion patterns which are electro and/or breakbeat sample-based. Sub-styles include Funky Breaks, PsyBreaks, Florida Breaks, Progressive Breaks, and Nu Skool Breaks.The breaks sound was very popular at raves in California, Florida, New York City, and the UK. It is not closely connected to the UK breakbeat/proto-jungle scene of the early '90s, for which the Breakbeat tag is applicable.The Breaks tag often appears in conjunction with the Acid tag.The Breaks tag is also often used for some slower dance music styles based on very prominent breakbeat samples, often with a hip-hop/scratch-DJ influence, but generally steering clear of the aforementioned scenes and styles. This strain of breaks starts as early as 1987 with releases by Criminal Element Orchestra and Bomb The Bass, includes classic early '90s releases by Depth Charge and Fatboy Slim, and continues to the present day.There is no tag specifically for "beats and breaks"; types of releases intended for DJs and music producers, nor is there a tag for other forms of dance music that contain funky drum breaks (aside from Breakbeat), regardless of whether it is made with samples, tape loops, drum machines, or played live.  Some Discogs users nevertheless use Breaks and Breakbeat tags on these types of records, going back as far as 1982 for the first Jive Rhythm Trax release.|/style/breaks
70000072|Electronic|Broken Beat|A melting-pot genre distinguished by its avoidance of a bass-heavy kick drum hitting on every beat; the kick patterns are lighter and syncopated with prominent staccato claps or snares. Other than its lack of steady kick drum, it often sounds more like jazzy deep house with hints of drum & bass. It was most popular in the mid-2000s.|/style/broken+beat
70000073|Electronic|Chillwave||/style/chillwave
70000074|Electronic|Chiptune|Chiptune (also commonly referred to as “chipmusic,” "chipstyle music,"; or “8-bit music,” despite often involving sounds characteristic of post-8-bit systems) is a subset of electronic music created using the primitive / raw sound synthesis characteristic of early generation home computer & video game hardware. This can be achieved through modern musicmaking tools, through the original home computing / gaming consoles themselves (often making use of homebrew software and/or hardware), or a combination of the two.Some platforms commonly adopted for this style of music include home computers such as the Commodore 64, Atari ST series, and ZX Spectrum; and gaming consoles such as the Nintendo Entertainment System, the Sega Genesis, the Nintendo Game Boy, and so forth.What most of these devices have in common is that they predate the era of home computers & gaming platforms capable of sampled audio playback; instead they relied on dedicated onboard soundchips for all audio, sound effects, and music, providing (by today's standards) fairly simple realtime audio synthesis, with limited timbral range and polyphony generally limited to as few as three voices.Chiptune is generally considered distinct from VGM (video game music), insofar as chiptune is often stylistically and conceptually removed from the music typical of games. Of course this line can often be blurry, and the two have considerable overlap.|/style/chiptune
70000075|Electronic|Dance-pop|Uptempo music influenced by post-disco, synth-pop, new wave and house, characterised by strong beats and uncomplicated song structures with an emphasis on catchiness and melody. Generally produced with the intention of being both danceable and suitable for contemporary hit radio. Dance-pop should not be confused with eurodance, which in fact contains elements of techno, hi-NRG and euro disco.|/style/dance-pop
70000076|Electronic|Dark Ambient|Dark ambient (in the 1980s also referred to as ambient industrial) is a genre of post-industrial music that features foreboding, ominous, or discordant overtones, some of which were heavily inspired by elements of ambient music. The term was coined in the early 1990s by Roger Karmanik to describe the music of Raison d'être and is strongly associated with the Cold Meat Industry record label.|/style/dark+ambient
70000077|Electronic|Darkwave|Dark Wave, also written as one word, is a term coined in the mid-'80s (probably by [EFA Distribution](http://www.discogs.com/label/2444-EFA)) to describe the dark and melancholy side of New Wave and Post-Punk music. It was applied to guitar-oriented bands such as [Cyan Revue](http://www.discogs.com/artist/560651-Cyan-Revue), [Leningrad Sandwich](http://www.discogs.com/artist/323691-Leningrad-Sandwich), [Joy Division](http://www.discogs.com/artist/3898-Joy-Division), [Fields of the Nephilim](http://www.discogs.com/artist/85994-Fields-Of-The-Nephilim), [The Mission](http://www.discogs.com/artist/99925-The-Mission) but also synthesizer-based New Wave artists such as [Attrition](https://www.discogs.com/artist/15562-Attrition), [Psyche](http://www.discogs.com/artist/43418-Psyche-2), [In The Nursery](https://www.discogs.com/artist/23686-In-The-Nursery) and [Clan Of Xymox](https://www.discogs.com/artist/58955-Clan-Of-Xymox).In the late 1980s and early 1990s, a second generation of dark wave bands appeared, primarily in Germany, in particular [Deine Lakaien](http://www.discogs.com/artist/45013-Deine-Lakaien), [Girls Under Glass](https://www.discogs.com/artist/68602-Girls-Under-Glass) and [Das Ich](https://www.discogs.com/artist/36930-Das-Ich). These were followed by a a group of artists around the [Projekt](https://www.discogs.com/label/2905-Projekt) and [Tess Records](https://www.discogs.com/label/37392-Tess-Records) labels in the US who developed a more ethereal sound, including [This Ascension](https://www.discogs.com/artist/114195-This-Ascension), [Faith And The Muse](https://www.discogs.com/artist/105840-Faith-and-the-Muse), [black tape for a blue girl](https://www.discogs.com/artist/84056-black-tape-for-a-blue-girl) and [Lycia](https://www.discogs.com/artist/97667-Lycia) (both labels also released material by Attrition and Clan of Xymox, respectively).Styles that have often been associated with the term include Gothic Rock, Cold Wave, Synth-Wave, Neofolk, Ethereal and Neoclassical (cf. &#8216;Heavenly Voices').  |/style/darkwave
70000078|Electronic|Deep House|The term "deep house"; has been used with (at least) two distinct meanings:Originally, the term was roughly synonymous with "soulful house";. Deep house, in this sense, is house music influenced by jazz, soul, and gospel. Vocals (both male and female) are common, and lyrical themes include positivity, community, love, self-belief, and overcoming hardship. Overly synthetic sounds are downplayed, in favor of pianos, organs, horns, bass guitar, etc. Tracks sometimes follow more of a conventional verse-chorus-verse structure than other forms of house.In the 2010s, "deep house"; has been applied to a newer style of house that tends toward the dreamy, laid-back, subdued, atmospheric, reflective, and minimalistic. (This sense of the term is roughly synonymous with "lo-fi house";.)|/style/deep+house
70000079|Electronic|Deep Techno|Relatively wide sub genre with focusing on ambient, sometimes dancing and almost always low-end aspects.Lays in styles from dub techno to abstract IDM.Especially good at proper soundsystem with no lights.|/style/deep+techno
70000080|Electronic|Disco|One of the main genres of dance music of the XX century, which arose in the early 1970s.|/style/disco
70000081|Electronic|Disco Polo||/style/disco+polo
70000082|Electronic|Donk|Donk, or Hard Bounce, is a sub-style of UK Hard House featuring an upbeat, energetic sound and a heavy focus on the &#8216;pipe' sample as an offbeat bassline.|/style/donk
70000083|Electronic|Doomcore||/style/doomcore
70000084|Electronic|Downtempo|Downtempo (or downbeat) music is associated with a variety of different Discogs genres including electronic, jazz, rock, and some world music. It is generally 50 to 90 BPM, and sometimes there is not even any overt percussion in the music.The Downtempo tag was originally intended to refer to 1990s–2000s chillout or lounge music that has a slow, rolling, hip-hop or dub-inspired groove with sampled beats, and which can be broadly categorized as primarily jazzy, primarily dubby, or both. However, as downtempo is loosely defined, it has become an umbrella term for a broad selection of music with moody tones, chilling to passionate vocals, crossover indie vibes, and mellow beats.Usage of the Downtempo tag for music from before c. 1989 or as a generic tempo descriptor is likely to be contentious.|/style/downtempo
70000085|Electronic|Drone|Music style characterized by the use of sustained sounds and notes. Originally, a drone is a low-pitched sound supporting the main patterns of the musical piece, most typically in bagpipes.In its purest form, a drone music piece will consist of a few notes continued for several tens of minutes with only very slow distortions (for instance, The Hafler Trio's Trilogy, Cleave, No Man Put Asunder and No More Twain, Of One Flesh).Drones are also used in Doom Metal, where the bass line remains unchanged for several minutes while sometimes lacking any tempo (for instance, Earth and Sunn O)))).Drones also feature in Noise and other experimental recordings, where the hypnotic and sometimes jarring effects of sustained notes are applied to the listener for an extended period of time (for instance, Nackt Insecten's Sick Animal Eyes, Time Machines' self-titled album, and Keiji Haino and Sitaar Tah!'s collaborative album, Animamima.)|/style/drone
70000086|Electronic|Drum n Bass||/style/drum+n+bass
70000087|Electronic|Dub|Dub is a genre that grew out of reggae in the late 1960s, developed in the 1970's, and is commonly considered a subgenre of reggae, though it has developed to extend beyond the scope of reggae. The style consists predominantly of instrumental remixes of existing recordings and is achieved by significantly manipulating and reshaping the recordings, usually through the removal of vocals, emphasis of the rhythm section (the stripped-down drum-and-bass track), the application of studio effects such as echo and reverb, and the occasional dubbing of vocal or instrumental snippets from the original version or other works. It was an early form of popular electronic music.|/style/dub
70000088|Electronic|Dub Techno|Incorporates main elements of Minimal Techno and Dub. Usually characterized by a deep, repetitive bass line with minimal percussion and deep synth stabs.|/style/dub+techno
70000089|Electronic|Dubstep|Dubstep is a genre of electronic dance music that originated in South London, England, that generally features syncopated drum and percussion patterns with bass lines that contain prominent sub bass frequencies. The tempo is usually around 140 BPM and the snare will hit down on the third beat, this makes dubstep easily mixed with 70 or 140 BPM tunes.It emerged in the late 1990s as a development within a lineage of related styles such as 2-step garage, broken beat, drum and bass, jungle, dub and reggae. According to urban legend, the term dubstep was coined in 2002 by [Ammunition Promotions](http://www.discogs.com/label/309132-Ammunition-Promotions-Ltd) in a press release sent to [XLR8R magazine](https://www.xlr8r.com/). In the UK the origins of the genre can be traced back to the growth of the Jamaican sound system party scene in the early 1980s. |/style/dubstep
70000090|Electronic|Dungeon Synth|Dungeon synth (also known as fantasy music) is an Ambient genre that emerged in the early 1990s, stylistically related to orchestral Soundtracks, particularly Film Score music. Where the purpose of a film score is to set the mood accompanying visual scenery, dungeon synth can be considered a similar concept using sound only, making it a &#8216;score without a film'. In this sense, the genre is a highly narrative form of music, with "scenes"; that are played out in almost theatrical fashion. Synthesizers and keyboards are the primary instruments of choice, with vocals, samples and acoustic instruments also frequently used. Pioneered by artists such as Mortiis, Burzum and Pazuzu, the intention of dungeon synth is generally to evoke settings of fantasy and adventure, drawing inspiration from European mythology, fantasy writers such as J.R.R. Tolkien, fairy tales, as well as role-playing games like Dungeons and Dragons. Dark Ambient music, Western Classical Music and Darkwave are often cited as influences for the mood and atmosphere of dungeon synth. The style is also used in the soundtracks of some Video Game Music with medieval or dungeon-based settings, often being blended with Bit Music.|/style/dungeon+synth
70000091|Electronic|EBM|Electronic body music (EBM) is a genre of electronic music that combines elements of industrial music and synth-punk with elements of disco and dance music. It developed in the early 1980s in Germany and Belgium and came to prominence in Belgium at the end of the decade. EBM was generally considered a part of the European new wave and post-punk movement and the first style that blended synthesized sounds with an ecstatic style of dancing (e.g. pogo).In the second half of the 1980s, a youth-cultural scene emerged from EBM whose followers describe themselves as EBM-heads or (in North America) as rivetheads.|/style/ebm
70000092|Electronic|Electro|A style that began as an early form of hip-hop, Electro has grown to encompass anything that uses the classic, electronic, syncopated beat found on tracks like "Planet Rock"; by Afrika Bambaataa or "White Lines"; by Grandmaster Flash & The Furious Five, or as popularized by Herbie Hancock's "RockIt";. Electro is also applied retroactively to some of the music of Kraftwerk, particularly "Numbers"; and "Home Computer";—forward-looking, danceable electronic tracks which were highly regarded in early hip-hop culture.Aside from the distinctive rhythm pattern, Electro is often distinguished by an emphasis on synthesizers, vocoders, and dry, syncopated/";funky"; drum sounds (as opposed to the monotonous, low-pitch bass drum of house and techno). In contrast to typical hip-hop approach of mining funky beats and warm basslines from old vinyl and emphasizing a rap vocal, the Electro vibe is more about producing new, cold, heavily synthetic-sounding beats and minimal basslines, with chanted vocals, extended instrumental passages, and minor-key lead synth themes.The funky side of Electro can include sung vocals, is also known as Electro-Funk, and was a basis of the freestyle genre (initially "Latin hip-hop";). The Techno side of Electro is rooted in the music of Cybotron and Model 500, and was defined more fully in the '90s by artists such as Drexciya and Anthony Rother. The term or prefix Electro is also applied to synth-pop and industrial dance music with little or no hip-hop connection, but which just incorporated similarly styled beat patterns, instrumentation, and overall feel.In recent years, club and mainstream dance music has been infiltrated by a more modern and rock-influenced sound, now known as "Electro-House"; and sometimes just referred to as Electro. This sound usually features a loud, four to the floor kickdrum with melodies and basslines remeniscent of 80's synth-pop. As with Electroclash and in contrast with pure Electro, Electro-House is often dominated by lead synths or samples which use distortion as a characteristic effect; examples include some of the music of Justice or Kavinsky.On Discogs, Electro is a style tag in both the Electronic and Hip Hop genres. If in doubt which genre applies, ask in the Database Forum.During one of the major updates of the Discogs back end, Electronic genre releases with no style tag were given the tag Electro automatically. This resulted in many releases being tagged as Electro in error.|/style/electro
70000093|Electronic|Electro House|Electro house is a music genre characterized by heavy bass and a tempo around 130 beats per minute. Its origins were influenced by tech house and electro. Electro-house is typified by its heavy bass. This is often in the form of buzzing basslines, such as those created with sawtooth waves and distortion. It is also often in the form of large bass drum sounds in a four-on-the-floor pattern. The tempo of electro house is usually between 125 and 135 beats per minute. Electro house sometimes resembles tech house, but it can contain melodic elements and electro-influenced samples and synths.|/style/electro+house
70000094|Electronic|Electro Swing||/style/electro+swing
70000095|Electronic|Electroacoustic||/style/electroacoustic
70000096|Electronic|Electroclash|Electroclash fuses electro, techno, synth-pop, new wave, punk and performance art. Early examples of the style include Miss Kittin & The Hacker's Champagne! E.P. and I-f's "Space Invaders Are Smoking Grass";. DJ Larry Tee, who coined the term, and DJ Hell, whose International Deejay Gigolo Records label was home to many of the acts, helped create a cohesive scene in the early 2000s. The term is particularly associated with acts such as Miss Kittin & The Hacker, Fischerspooner, Tiga, and Goldfrapp. Towards the middle of the 2000s, elements of the sound became popular in mainstream music with artists such as Madonna and Kylie Minogue releasing material with an electroclash sound.|/style/electroclash
70000097|Electronic|Euro House|Euro House emerged in the late 1980s as a style of vocal House music from the European continent. The style originated in songs with strong influences from Dance-pop on a House music background.It developed in parallel with Eurodance (which distinguishes itself by a high BPM and influences from Techno and Hi-NRG) throughout the 1990s and several Euro House bands, such as Cappella and 2 Brothers On The 4th Floor, were also dedicated to Eurodance or Italodance.|/style/euro+house
